Rank, H1B Visa Sponsor, Job Title, Number of LCA  *, Average Salary
219,Kim Chen Agency,Data Analyst,2,"$35,500 "
164,New Mexico State University,Programmer/Analyst,2,"$38,792 "
146,Agilis Systems LLC,Computer Programmer,13,"$40,289 "
197,Blogs For Brands,Database Administrator,4,"$44,678 "
163,Northeast Construction,Programmer/Analyst,2,"$45,000 "
218,Westnet,Data Analyst,2,"$45,000 "
221,VIRTUAL NETWORX,Computer Programmer,8,"$45,011 "
31,Pir2 Consulting,Computer Programmer Analyst,20,"$45,011 "
46,Paramount Global Solutions,Computer Programmer Analyst,12,"$45,011 "
162,Towers Watson Delaware,Programmer/Analyst,2,"$45,500 "
206,Itpro Software Solutions,Computer Programmer Analyst,1,"$46,000 "
208,Amensys,Software Test Engineer,1,"$46,000 "
207,Team Care Enterprises,Software Test Engineer,1,"$46,301 "
182,Gold Coast It Solutions,Java Developer,3,"$46,384 "
190,Swift Tech,Software Developer,16,"$46,535 "
107,Indotronix International,Computer Programmer,17,"$46,616 "
205,Syswise,Computer Programmer Analyst,1,"$46,842 "
38,Teahleap Systems,Computer Programmer Analyst,15,"$47,200 "
101,Ssb Software Technologies,Computer Programmer Analyst,3,"$47,348 "
220,Cetetek Technology,Computer Programmer,8,"$47,403 "
140,Xpectit Mobile,Computer Programmer Analyst,2,"$47,500 "
88,Sonida Group,Programmer/Analyst,3,"$47,847 "
79,Sai Cornerstone,Computer Programmer,24,"$47,867 "
47,Credent Technologies,Computer Programmer,35,"$47,972 "
217,Benchmark Education Company,Data Analyst,2,"$48,000 "
81,Volt Management,Software Test Engineer,2,"$48,131 "
216,H. Lee Moffitt Cancer Center And Research Institute,Data Analyst,2,"$48,194 "
12,Raiser Technologies,Computer Programmer,90,"$48,433 "
215,University Of Pittsburgh,Data Analyst,2,"$48,516 "
87,Sedulo Group,Programmer/Analyst,3,"$48,655 "
196,American Software Resources,Database Administrator,4,"$48,755 "
215,Hypervisor Technologies,Computer Systems Analyst,6,"$49,167 "
132,Dizer,Programmer Analyst,75,"$49,302 "
219,Vtekh,Computer Programmer,8,"$49,314 "
214,Starpoint Solutions,Data Analyst,2,"$49,422 "
75,Selsoft,Programmer Analyst,101,"$49,773 "
59,Crux It Consulting Services,Computer Programmer Analyst,8,"$50,000 "
65,Hitek Force,Computer Programmer Analyst,6,"$50,000 "
204,Delta Global Services,Computer Programmer Analyst,1,"$50,000 "
206,Csi Interfusion (Fka Chinasoft International),Software Test Engineer,1,"$50,000 "
212,Wunderman Data Management,Data Analyst,2,"$50,000 "
212,Select Portfolio Servicing,Data Analyst,2,"$50,000 "
28,Db Services Nj,Programmer/Analyst,12,"$50,072 "
161,Procurement Advisors,Programmer/Analyst,2,"$50,200 "
144,Transnational Software Services,Database Administrator,5,"$50,324 "
26,Apps Globe,Computer Programmer Analyst,24,"$50,375 "
122,Thought Byte,Qa Analyst,4,"$50,752 "
44,Continental Hub For Info Processing,Computer Programmer,36,"$50,918 "
204,K-Tek Resourcing,Software Test Engineer,1,"$51,000 "
204,7thonline,Software Test Engineer,1,"$51,000 "
121,Brightpier Tech,Qa Analyst,4,"$51,053 "
73,American Information Technology,Computer Programmer,25,"$51,140 "
22,Corematiq,Software Developer,70,"$51,371 "
195,Vigilant Technologies,Database Administrator,4,"$51,500 "
145,Egrove Systems,Computer Programmer,13,"$51,605 "
68,"Golman, Sachs",Programmer/Analyst,4,"$51,700 "
139,Priamba Soft,Computer Programmer Analyst,2,"$51,730 "
170,"Rithwik Infotek,",Computer Programmer,11,"$51,800 "
120,Mojid Solutions LLC,Qa Analyst,4,"$52,000 "
25,Apps Consultants,Software Test Engineer,5,"$52,000 "
203,Deka Research & Development,Software Test Engineer,1,"$52,000 "
211,We Care Recycling Administration,Data Analyst,2,"$52,000 "
160,Dalberg Consulting Us,Programmer/Analyst,2,"$52,015 "
80,Whova,Software Test Engineer,2,"$52,104 "
30,Manhattan Telecommunications,Data Analyst,6,"$52,168 "
218,Findskills,Computer Programmer,8,"$52,253 "
210,Child Mind Institute,Data Analyst,2,"$52,440 "
13,Airysoft,Computer Programmer,88,"$52,456 "
159,Solid Rock Asset Management,Programmer/Analyst,2,"$52,500 "
202,Blue Acorn,Software Test Engineer,1,"$52,500 "
25,Techleap Systems,Computer Programmer Analyst,24,"$52,583 "
118,Swift Tech,Systems Analyst,21,"$52,619 "
19,Apps Consultants,Programmer/Analyst,21,"$52,619 "
167,Krypto It Solutions,Business Analyst,10,"$53,000 "
119,Pioneer Consulting Services,Qa Analyst,4,"$53,000 "
201,Conquest Consulting,Software Test Engineer,1,"$53,000 "
151,Bitwise,Programmer Analyst,70,"$53,067 "
219,Idealogix,Business Analyst,8,"$53,082 "
209,Idealogix,Data Analyst,2,"$53,082 "
195,Asius,Computer Programmer,9,"$53,109 "
31,Software Technology Labs,Software Developer,55,"$53,145 "
181,Svi America,Java Developer,3,"$53,200 "
91,Infocision,Application Developer,3,"$53,383 "
203,Dynamic Software Consultants,Computer Programmer Analyst,1,"$53,500 "
145,Yash & Lujan Consulting,Business Analyst,11,"$53,585 "
158,Hi Q Trading Service,Programmer/Analyst,2,"$53,600 "
74,Sierra Infosys,Programmer Analyst,101,"$53,689 "
24,Oberon It,Data Analyst,7,"$53,783 "
102,Clevand Municipal School District,Data Analyst,3,"$53,795 "
138,Jeld-Wen,Computer Programmer Analyst,2,"$53,825 "
208,"Jewish Board Of Family And Children's Services, In",Data Analyst,2,"$53,893 "
86,Novo Proso,Software Developer,31,"$54,000 "
137,Tasacom Technologies,Computer Programmer Analyst,2,"$54,000 "
70,Corematiq,Qa Analyst,6,"$54,000 "
118,Smart It Frame,Qa Analyst,4,"$54,000 "
34,Accelerated Technologies,Software Test Engineer,4,"$54,000 "
23,First Tek,Data Analyst,7,"$54,007 "
54,Ameya Infotechnologies,Computer Programmer Analyst,10,"$54,038 "
136,Turing Info Solutions,Computer Programmer Analyst,2,"$54,038 "
200,Leapdroid,Software Test Engineer,1,"$54,059 "
24,Tru Solution Systems,Software Test Engineer,5,"$54,080 "
207,Namei Group,Data Analyst,2,"$54,080 "
206,Ageatia Technology Consultancy Services,Data Analyst,2,"$54,353 "
135,Softpros,Computer Programmer Analyst,2,"$54,361 "
202,Qpair,Computer Programmer Analyst,1,"$54,454 "
134,Cyber Consulting,Computer Programmer Analyst,2,"$54,500 "
165,Iten Consulting,Application Developer,2,"$54,500 "
194,Saibersys,Computer Programmer,9,"$54,511 "
160,Bitsoft International,Software Developer,19,"$54,568 "
218,Ascii Global,Business Analyst,8,"$54,600 "
72,Superior Software And Technology Solutions,Computer Programmer,25,"$54,669 "
82,Saras America,Database Administrator,8,"$54,763 "
113,Needa Technologies,Developer,2,"$54,800 "
164,Marketlink,Application Developer,2,"$54,873 "
59,Trustees Of The University Of Pennsylvania,Data Analyst,4,"$54,972 "
48,Progress Solutions,Qa Analyst,8,"$54,982 "
