Rank,H1B Visa Sponsor,Job Title,Number of LCA,Average Salary
1,Tata Consultancy Services,Developer,5187,"$74,938 "
1,Google,Software Engineer,3383,"$130,533 "
1,Tech Mahindra (Americas),Computer Programmer,1974,"$69,281 "
2,Microsoft,Software Engineer,1899,"$121,745 "
1,Syntel Consulting,Programmer Analyst,1548,"$67,469 "
2,Wipro,Programmer Analyst,1285,"$69,216 "
3,Capgemini,Software Engineer,1062,"$75,967 "
1,IBM,Application Developer,1013,"$73,140 "
2,Igate Technologies,Computer Programmer,891,"$67,679 "
3,Hexaware Technologies,Computer Programmer,661,"$62,069 "
4,Cerner,Software Engineer,649,"$71,620 "
2,Compunnel Software Group,Systems Analyst,622,"$69,861 "
3,Ust Global,Systems Analyst,567,"$63,213 "
3,Syntel,Programmer Analyst,564,"$88,121 "
4,Htc Global Services,Programmer Analyst,556,"$66,640 "
5,Facebook,Software Engineer,492,"$150,146 "
4,Larsen & Toubro Infotech,Computer Programmer,485,"$69,462 "
1,Marlabs,Programmer/Analyst,477,"$70,528 "
6,Birlasoft,Software Engineer,467,"$62,791 "
5,Reliable Software Resources,Programmer Analyst,464,"$62,078 "
6,V-Soft Consulting Group,Programmer Analyst,403,"$76,017 "
7,Ipolarity,Programmer Analyst,395,"$65,706 "
1,Citiustech,Computer Programmer Analyst,393,"$79,421 "
1,Ntt Data,Software Developer,370,"$99,140 "
8,3i Infotech,Programmer Analyst,367,"$62,213 "
9,People Tech Group,Programmer Analyst,319,"$70,176 "
8,Intel,Software Engineer,316,"$111,556 "
2,Diaspark,Software Developer,306,"$64,559 "
5,Natsoft,Computer Programmer,303,"$70,096 "
10,Mythri Consulting LLC,Programmer Analyst,272,"$75,727 "
5,Niit Technologies,Systems Analyst,239,"$66,803 "
11,Gss Infotech Ct,Programmer Analyst,238,"$64,606 "
12,Yash Technologies,Programmer Analyst,236,"$63,927 "
9,Uber Technologies,Software Engineer,233,"$124,711 "
13,8k Miles Health Cloud,Programmer Analyst,232,"$64,057 "
14,T2m Consulting Services,Programmer Analyst,214,"$60,037 "
6,Tavant Technologies,Systems Analyst,203,"$81,329 "
15,First Tek,Programmer Analyst,198,"$65,715 "
2,Capital One Services,Senior Software Engineer,188,"$108,497 "
